id model_id x y ei location spatial_size kpeaks_dom_0 kpeaks_dom_1 weight_dom_0 weight_dom_1 delay_dom_0 delay_dom_1 kpeaks_non_dom_0 kpeaks_non_dom_1 weight_non_dom_0 weight_non_dom_1 delay_non_dom_0 delay_non_dom_1 tuning_angle sf_sep
0 sON_TF1 2.096479 2.225784 e LGN 2.206025 57.53995 134.26276 0.980168 -0.4490751 0.0 14.64513 NaN NaN NaN NaN NaN NaN NaN NaN
1 sON_TF1 5.467939 1.7438387 e LGN 8.420692 56.560295 139.45818 1.0200301 -0.44748077 0.0 14.812649 NaN NaN NaN NaN NaN NaN NaN NaN
2 sON_TF1 4.160693 3.2899594 e LGN 6.0730863 56.223885 136.21744 1.022956 -0.45126328 0.0 15.125364 NaN NaN NaN NaN NaN NaN NaN NaN
3 sON_TF1 4.06231 6.1651073 e LGN 3.3779898 57.303528 138.5465 1.007222 -0.44414735 0.0 15.265857 NaN NaN NaN NaN NaN NaN NaN NaN
4 sON_TF1 0.37536258 3.066693 e LGN 6.5595617 57.286007 140.21542 0.98859715 -0.44316763 0.0 14.870516 NaN NaN NaN NaN NaN NaN NaN NaN
5 sON_TF1 4.96793 4.0974774 e LGN 5.0316205 57.661987 137.11418 0.9911763 -0.4354752 0.0 15.213953 NaN NaN NaN NaN NaN NaN NaN NaN
6 sON_TF1 0.9148031 7.4330997 e LGN 4.366207 57.468987 136.5324 0.97605336 -0.45048574 0.0 14.801562 NaN NaN NaN NaN NaN NaN NaN NaN
7 sON_TF1 5.984765 13.159343 e LGN 5.005681 57.78544 137.79382 1.0077405 -0.4489513 0.0 14.974266 NaN NaN NaN NaN NaN NaN NaN NaN
8 sON_TF1 7.922296 10.006645 e LGN 2.6274264 56.26306 136.8511 0.99626386 -0.4383728 0.0 15.334745 NaN NaN NaN NaN NaN NaN NaN NaN
9 sON_TF1 1.6191206 15.201631 e LGN 4.7345963 55.460644 136.81444 0.98855364 -0.44257852 0.0 14.89477 NaN NaN NaN NaN NaN NaN NaN NaN
10 sON_TF1 5.923594 12.530717 e LGN 5.439856 55.249653 136.24901 1.0144473 -0.4448209 0.0 14.931355 NaN NaN NaN NaN NaN NaN NaN NaN
11 sON_TF1 5.570214 9.133402 e LGN 6.748693 57.490025 140.6589 0.976197 -0.4489612 0.0 15.323328 NaN NaN NaN NaN NaN NaN NaN NaN
12 sON_TF1 3.233128 15.360368 e LGN 5.270505 57.641533 139.58102 0.9792812 -0.4379665 0.0 15.164518 NaN NaN NaN NaN NaN NaN NaN NaN
