,tau_syn,tau_syn_slow,amp_slow
exc_to_exc,1.790988383542,2.97942609444,0.655948011814627
exc_to_e23,1.7139442896969999,4.387938590550999,0.591166734524746
exc_to_e4,1.875141532239,2.4281210182639996,0.527230530777582
exc_to_e5et,1.8318457822399998,2.6171884009529998,1.08595608079456
exc_to_e5it,1.7381891869869999,5.98649331542,0.68353249134834
exc_to_e5np,1.7520153147970001,2.903220573417,0.358321335490053
exc_to_e6,1.7520153147970001,2.903220573417,0.358321335490053
exc_to_pv,0.905162575055,2.234185848565,0.228489324606641
exc_to_sst,1.275797668617,2.950205902341,0.336968130611869
exc_to_vip,1.677748410847,2.738353302078,0.25572265342405
exc_to_inh,1.041745527888,2.5551993733400002,0.257822593458052
e23_to_exc,1.592609271474,4.2736177036219996,0.514413725557216
e23_to_e23,1.7139442896969999,4.387938590550999,0.591166734524746
e23_to_e4,1.875141532239,2.4281210182639996,0.527230530777582
e23_to_e5et,1.8318457822399998,2.6171884009529998,1.08595608079456
e23_to_e5it,1.7381891869869999,5.98649331542,0.68353249134834
e23_to_e5np,1.7520153147970001,2.903220573417,0.358321335490053
e23_to_e6,1.7520153147970001,2.903220573417,0.358321335490053
e23_to_pv,0.905162575055,2.052687609337,0.190025012880733
e23_to_sst,1.275797668617,3.324504850482,0.299216912807198
e23_to_vip,1.665913163717,2.738353302078,0.198527338091732
e23_to_inh,1.059402897919,2.646776337709,0.200583361990536
e4_to_exc,1.853949615316,2.735575485214,0.710286415685917
e4_to_e23,1.7139442896969999,4.387938590550999,0.591166734524746
e4_to_e4,1.853046136342,2.445648708155,0.582091882380482
e4_to_e5et,1.944231683066,2.827443936434,0.792067673268403
e4_to_e5it,1.7381891869869999,5.98649331542,0.68353249134834
e4_to_e5np,1.7520153147970001,2.903220573417,0.358321335490053
e4_to_e6,1.7520153147970001,2.903220573417,0.358321335490053
e4_to_pv,0.849097958716,2.203105783982,0.265927635317202
e4_to_sst,1.275797668617,2.950205902341,0.336968130611869
e4_to_vip,1.677748410847,2.738353302078,0.25572265342405
e4_to_inh,0.918253638043,4.920761884865,0.228036687501935
e5et_to_exc,1.563571348073,2.642374835441,1.08213642669271
e5et_to_e23,1.7139442896969999,4.387938590550999,0.591166734524746
e5et_to_e4,1.875141532239,2.4281210182639996,0.527230530777582
e5et_to_e5et,1.563571348073,2.167371136882,1.65105950916743
e5et_to_e5it,1.7381891869869999,5.98649331542,0.68353249134834
