,w0,w1,w2,w3,w4
e5np_to_inh,0.8870506189425675,0.25759495520155484,1.1492546048424925,-0.04489198404228273,0.006077856716315666
e6_to_exc,-0.07700629230652262,0.5307319529839739,0.8914879429945669,0.002390582547886544,0.007027340522944597
e6_to_e23,0.040083722795128285,0.43156673577508625,0.639623171126906,0.43816076691631933,0.05840254302891515
e6_to_e4,-0.0798063572961964,0.43505509463090497,1.250006960984384,-0.1005952673925607,0.018430709443794324
e6_to_e5et,-0.04758808162784034,0.34611868796896605,1.7457023312400133,0.040241985218029186,-0.0006867951459508664
e6_to_e5it,-0.16216850055820814,0.8117416539802362,0.2447832854994874,0.41045815603887814,0.3704940104583973
e6_to_e5np,-0.07700629233152131,0.5307319530448045,0.8914879429250007,0.0023905825924782353,0.00702734050971901
e6_to_e6,-0.07700629227844986,0.5307319529200033,0.89148794305959,0.002390582511609396,0.007027340532473503
e6_to_pv,0.8975095730205127,0.9414814290854745,0.3537796600350091,-0.0888553195041202,0.016885466584135103
e6_to_sst,0.06583693872984217,0.9317346968133621,0.21539747170498885,0.14587914422664167,-0.01888997831121872
e6_to_vip,-0.08830877739693432,0.6511998836629873,0.7259406622158837,-0.04964725710417872,0.012325978565521228
e6_to_inh,0.887050618726463,0.2575949556621755,1.149254604376737,-0.044891983772578525,0.006077856641591994
pv_to_exc,-0.10335930144202182,1.0123548180869473,0.024779006525523062,0.22095108921720213,0.24057581968014674
pv_to_e23,-0.05624475301703691,1.0801395762470118,-0.11604588811411815,0.25214230560132267,0.2276239643319515
pv_to_e4,-0.09086956865078114,0.9552970803679413,0.11000516173488567,0.3971078067687669,0.042327392482029796
pv_to_e5et,-0.1265307363775223,0.6151603369118407,0.5022533816308654,0.15022249599932572,0.2524941244981897
pv_to_e5it,0.0630546941279182,1.081111913827363,-0.24938353454934842,0.23952644171336482,0.15913518078569366
pv_to_e5np,-0.04250223844059903,0.8346284312904696,0.2238199814172887,0.11932499944098512,0.26787582325218534
pv_to_e6,-0.11235162444660796,0.9864816810264174,0.06729358663986185,0.21098291586802176,0.24243307454792515
pv_to_pv,0.3641049266965461,0.7917478459864964,-0.12481638244515275,0.30797712076229766,-0.03273375351347895
pv_to_sst,-0.0768013376955975,0.639808558875937,1.6632590818761521,-0.029545179262329246,0.008282052907602894
pv_to_vip,0.32610976767002764,0.8230524675750276,-0.10950592792808761,0.32291561312317185,-0.03330144354979342
pv_to_inh,0.3261097676019221,0.8230524677147735,-0.10950592806276588,0.32291561319691964,-0.03330144356921465
sst_to_exc,-0.03385217465749002,0.04882283165957779,0.7716514653704455,1.0363509048059694,0.014542629637394888
sst_to_e23,-0.04306867371494372,0.006609712638342979,1.0455024637045875,1.0780256583666685,-0.09269945110111194
sst_to_e4,-0.10106419493178873,0.968636181035904,0.07756859641177061,0.8392973834643456,0.0524895760057176
sst_to_e5et,-0.11715138560129315,0.59120101878801,0.5222721294499106,0.7763008756577611,0.06296499912673295
sst_to_e5it,0.0913647348226129,1.076178041161966,-0.30191689263941357,0.9476718619500051,0.03116543964921803
sst_to_e5np,-0.10297227335361195,0.9625223622637957,0.08731233506633751,0.8370612951958206,0.05290394926285072
sst_to_e6,-0.10297227366865706,0.9625223629593785,0.08731233433801522,0.8370612956285919,0.0529039491412176
sst_to_pv,-0.059654739814402946,0.41471955922239684,0.9660931963881496,0.2556225467324852,-0.008601615955969179
sst_to_sst,0.016350695057452846,0.6266602525978785,0.49320300228769065,0.21021314394747204,-0.035451799025772876
sst_to_vip,-0.08833783100617779,0.7956873315113994,0.3860540937809137,0.35009955537988247,0.008162483743896217
sst_to_inh,-0.06474693147820869,0.6437520475520023,0.6244757651657113,0.22058783784290734,-0.00919753840664743
inh_to_exc,-0.11827289494553483,1.0054803048466434,0.027244323669017523,0.3370124868591165,0.16655057013885194
inh_to_e23,-0.13553719529699554,1.0025288369012149,0.014605971085220215,0.5615681076212593,0.14943309760013124
inh_to_e4,-0.11183038910715587,0.9973492909967667,0.0462487570332637,0.2551567656202569,0.1858321495316297
inh_to_e5et,-0.22770351370882946,0.8065897734176211,0.3767533774696493,0.04871618024266061,0.7477035225420186
inh_to_e5it,0.07318625585235577,1.1257713225092703,-0.3645035978675695,0.37759545101231684,0.35003527167327275
inh_to_e5np,-0.11827289502420205,1.0054803050062453,0.02724432352497763,0.33701248692953817,0.16655057012264385
inh_to_e6,-0.1182728951891425,1.0054803053519854,0.027244323180076413,0.3370124871266764,0.16655057006897772
inh_to_pv,0.22061713736497757,0.9313252263403129,-0.1723377339845023,0.38151791324873535,-0.02218344496661709
inh_to_sst,-0.022904470325282915,0.5658357217654133,0.6977842575217807,0.3224638494570171,-0.04510738657554912
inh_to_vip,-0.07809041070968226,0.7624903364866703,0.4629070651413366,0.43670099157201936,-0.0030737871542486223
inh_to_inh,0.3064576156237014,0.6057159972396536,0.27938931710455,0.21731457044745964,-0.011150009542024865
vip_to_exc,0.01782485980255294,0.7089827055379325,0.33366605827651274,0.15708451784362326,0.2166169622782258
vip_to_e23,-0.13553719558240118,1.0025288375167996,0.014605970461202766,0.5615681079780128,0.1494330975037445
vip_to_e4,-0.1118303881843781,0.9973492891129527,0.046248758834448345,0.2551567646423689,0.18583214978637502
vip_to_e5et,-0.2619499546386978,0.8799529327516473,0.3023875922830196,0.09155631570797185,0.7359730347333132
vip_to_e5it,0.07318625566600756,1.1257713229231898,-0.36450359830798934,0.3775954512786336,0.35003527159752956
vip_to_e5np,-0.11827289509420622,1.0054803051647985,0.027244323351062694,0.3370124870378652,0.16655057009141258
vip_to_e6,-0.11827289533764512,1.005480305676627,0.02724432284585271,0.3370124873202268,0.16655057001628665
vip_to_pv,0.03165381502998765,-0.11540847229901169,1.0947822969840595,0.6747114351471242,-0.02361123238991042
vip_to_sst,0.011931655032347388,-0.01990700378122845,1.265513390983219,0.3153333247251327,-0.021807241417069065
vip_to_vip,0.06533346499466619,-0.23344638438801601,1.4768003879915157,0.3982825751581007,-0.042837771247136405
vip_to_inh,0.0653334652862248,-0.23344638502400838,1.4768003886611156,0.3982825747545071,-0.04283777113217718
