sim_name,n_neurons,n_edges,batch_size,seq_len,mean_rate,sem_rate,mean_step_time,sem_step_time,mean_gpu_memory,sem_gpu_memory,mode
b_4enx,10000,6645432,10,4000,0.0039413622580468655,6.261374298473102e-06,10.89985391497612,0.08439669341143381,6.3037109375,0.041501033907960505,test
b_asu6,10000,6645432,10,4000,0.0035029654391109943,3.718043253150287e-06,10.606069952249527,0.10186401229578237,6.44921875,0.15306818939763006,"test"
b_rk5p,10000,6645432,10,4000,0.003693443490192294,8.442671143642289e-06,10.431222945451736,0.08895902689647363,6.5068359375,0.15760520690991522,"test"
b_68rf,10000,6645432,10,4000,0.003976712469011545,8.725311500881864e-06,10.552695333957672,0.08105047395085835,6.1318359375,0.053541992819815615,"test"
b_z62m,20000,14807994,10,4000,0.003835808951407671,2.9146723315306686e-06,16.13322353363037,0.09500892283063646,7.2607421875,0.08151811232308284,test
b_oxqn,20000,14807994,10,4000,0.003941280767321587,4.277736629069521e-06,16.043170511722565,0.09864706411968813,7.3935546875,0.0427908248050911,test
b_i0er,20000,14807994,10,4000,0.003982019145041704,4.769278365730998e-06,16.266226440668106,0.08616344135684532,7.0029296875,0.0560652347437786,test
b_phuz,20000,14807994,10,4000,0.0040399059653282166,4.691253703732467e-06,16.658245533704758,0.0846200746792744,8.4560546875,0.0,test
b_fkr7,20000,14807994,10,4000,0.0032204878516495228,3.864815395702128e-06,16.50935086607933,0.08756778296650325,7.0458984375,0.02557773604239999,"test"
f_voh0,20000,14807994,10,4000,0.003829356748610735,3.809781590039661e-06,16.03851753473282,0.08490369563694165,7.1201171875,0.05115547208479998,"test"
b_znpk,20000,14807994,10,4000,0.00399597454816103,6.525495663865148e-06,15.992206811904907,0.09363645558538872,7.1357421875,0.07689460814464659,"test"
b_5pak,40000,31863080,10,4000,0.0038052655290812254,2.2240853565539475e-06,26.451955944299698,0.1082817574283266,10.0625,0.09865698187782852,test
b_xoh3,40000,31863080,10,4000,0.00391928618773818,4.142844655166083e-06,26.778078079223633,0.11808600119431781,9.8935546875,0.20327518486340135,test
b_mku3,40000,31863080,10,4000,0.003956618253141642,4.931902523495014e-06,27.599175363779068,0.15412694321094278,9.76171875,0.021923773750628563,test
b_1s7b,40000,31863080,10,4000,0.003962808288633823,4.872151828483133e-06,26.82959946990013,0.12320950783871785,9.2138671875,0.0624389350122882,"test"
b_j1ym,40000,31863080,10,4000,0.003330425126478076,3.873296085572019e-06,25.372584968805313,0.11589690455972015,9.4951171875,0.2282233039477865,"test"
b_a89t,65871,54378241,10,4000,0.0038546454161405563,2.6584375832651064e-06,40.56777921319008,0.14379090785643972,12.6748046875,0.0,test
b_necc,65871,54378241,10,4000,0.004026572220027447,3.869413309725393e-06,42.45882797241211,0.15780823343534112,11.8193359375,0.34134177290893825,test
b_gouq,65871,54378241,10,4000,0.004030000418424606,3.008919118472178e-06,40.65054562687874,0.14324708696150384,12.5341796875,0.06418623720763665,"test"
b_awir,65871,54378241,10,4000,0.004010642878711224,4.502716719933151e-06,40.16011095046997,0.14761067495993008,12.1591796875,0.10697706201272775,"test"
b_f3m3,65871,54378241,10,4000,0.0036703639198094606,4.619468172148189e-06,38.48965150117874,0.16225554276961535,12.1240234375,0.19366000146388565,"test"
b_60rm,10000,6645432,1,4000,0.0037,0.0000,15.0052,0.0146,4.2414,0.0006,"train"
b_60rm,10000,6645432,10,4000,0.0040,0.0000,10.4917,0.0933,6.2256,0.0156,"test"
b_fsuh,40000,31863080,1,1000,0.0035,0.0000,7.0306,0.0083,6.8265,0.0016,"train"
b_fsuh,40000,31863080,10,4000,0.0038,0.0000,26.3405,0.1064,8.9258,0.1060,"test"
b_znpk,20000,14807994,1,4000,0.0038,0.0000,18.2875,0.0168,8.2890,0.0017,"train"
b_znpk,20000,14807994,10,4000,0.0040,0.0000,16.5081,0.1008,7.5928,0.1335,"test"
b_3bdc,65871,54378241,1,1000,0.0036,0.0000,11.4284,0.0084,11.2955,0.0025,"train"
b_3bdc,65871,54378241,10,4000,0.0039,0.0000,39.5655,0.1472,10.8350,0.1533,"test"
b_y999,40000,31863080,1,2000,0.0037,0.0000,14.6473,0.0106,10.0480,0.0025,"train"
b_y999,40000,31863080,10,4000,0.0041,0.0000,26.9794,0.1164,9.5186,0.0000,"test"
b_hwf4,65871,54378241,1,2000,0.0038,0.0000,22.4282,0.0105,16.7138,0.0047,"train"
b_hwf4,65871,54378241,10,4000,0.0040,0.0000,40.9448,0.1398,11.4717,0.1070,"test"
b_ydkc,40000,31863080,1,4000,0.0038,0.0000,26.8172,0.0178,16.6162,0.0048,"train"
b_ydkc,40000,31863080,10,4000,0.0040,0.0000,26.7182,0.1208,9.1133,0.0552,"test"
b_f7je,65871,54378241,1,4000,0.0040,0.0000,44.05,0.0084,27.85,0.0025,"train"
b_fjb6,203816,179735332,1,1000,0.0037,0.0000,33.2,0.0194,34.9,0.0314,"train"
b_fjb6,203816,179735332,10,4000,0.004,0.0000,88.2,0.2508,23.0596,0.2631,"test"

